,value
0,37626.042708216155
1,34411.03637954203
2,48942.67314414856
3,36083.087376459924
4,55469.94621119246
5,49933.60351554647
6,72500.45212608842
7,63279.820667098225
8,85740.41305164376
9,201450.72520043215
10,220409.63919317414
11,296347.0616199033
12,313601.22777322016
13,266374.7882790632
14,309889.30742766516
15,489375.107284025
16,655065.4438974053
17,605496.1641347228
18,555569.1741685673
19,629097.9114067422
20,686692.6495568592
21,750083.383451821
22,688213.815359668
23,610544.4854825643
24,436866.0190452547
25,375450.99377107545
26,501501.51989989716
